# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
kong zhi li 	控制力	c=1 d=0.000567086 t=211804
kong zhi liang 	控制量	c=1 d=5.64353e-06 t=211804
kong zhi liu 	控制流	c=10 d=0.183599 t=211804
kong zhi lun 	控制論	c=7 d=3.0585e-05 t=211804
kong zhi mian ban 	控制面板	c=2 d=4.70251e-07 t=211804
kong zhi qi 	控制器	c=6 d=0.00711212 t=211804
kong zhi re ping heng 	控制熱平衡	c=1 d=3.80323e-10 t=211804
kong zhi tai 	控制檯	c=2 d=0.57695 t=211804
kong zhi tiao 	控制條	c=3 d=0.000139316 t=211804
kong zhi xi tong 	控制系統	c=4 d=0.249075 t=211804
kong zhi xiang guan 	控制相關	c=1 d=9.33664e-17 t=211804
kong zhi xing xi 	控制星系	c=1 d=2.6482e-75 t=211804
kong zhi yu 	控制慾	c=2 d=1.956 t=197820
kong zhi zhe 	控制着	c=3 d=0.00726273 t=211804
kong zhi zhi ling 	控制指令	c=1 d=8.69006e-55 t=211804
kong zhi zi ji 	控制自己	c=1 d=3.02077e-06 t=211804
kong zhong 	空中	c=1 d=5.04262e-05 t=211804
kong zhuan yi 	空轉移	c=7 d=1.52391e-13 t=211804
kou 	口	c=9 d=2.89226e-07 t=211804
kou 	釦	c=3 d=1.6641e-21 t=211804
kou bai 	口白	c=7 d=0.00377257 t=211804
kou bi 	口鼻	c=1 d=5.45035e-09 t=211804
kou bi guo cheng 	口鼻過程	c=1 d=5.47768e-08 t=211804
kou chi 	口吃	c=1 d=1 t=157252
kou chu 	扣除	c=1 d=1 t=176115
kou fen 	扣分	c=2 d=1 t=176066
kou hao 	口號	c=1 d=1 t=163916
kou hao 	扣好	c=5 d=0.000162473 t=211804
kou hu 	口胡	c=1 d=0.000294568 t=211804
kou le 	扣了	c=1 d=1.75032e-27 t=211804
kou ling 	口令	c=2 d=2.19455e-28 t=211804
kou qi 	口氣	c=1 d=0.000471307 t=211804
kou qiang 	口腔	c=7 d=5.36323e-07 t=211804
kou se yin 	口塞音	c=4 d=1.38832e-07 t=211804
kou shi 	口試	c=1 d=1 t=185630
kou shi xin fei 	口是心非	c=1 d=1 t=183400
kou shou 	口授	c=1 d=3.05632e-26 t=211804
kou shu 	口述	c=1 d=3.07164e-26 t=211804
kou wei 	口味	c=1 d=5.10909e-12 t=211804
kou xiang 	叩響	c=1 d=5.16835e-30 t=211804
kou yin 	口音	c=8 d=3.44976e-07 t=211804
kou yu hua 	口語化	c=1 d=0.532592 t=211804
kou zhao 	口罩	c=2 d=0.208045 t=211804
kou zhong 	口中	c=2 d=2.4796e-07 t=211804
kou zi 	釦子	c=3 d=0.000164928 t=211804
ku 	庫	c=35 d=0.014009 t=211804
ku chu 	苦楚	c=1 d=0.00726273 t=211804
ku de 	哭得	c=1 d=1 t=194911
ku gong 	苦工	c=1 d=3.86453e-51 t=211804
ku hai 	苦海	c=1 d=0.00960953 t=211804
ku han shu 	庫函數	c=1 d=0.000291637 t=211804
ku jie 	枯竭	c=1 d=1 t=208069
ku le 	哭了	c=1 d=1 t=194916
ku lun 	庫倫	c=1 d=1.12535e-07 t=211804
ku ming ren 	苦命人	c=3 d=0.238115 t=211804
ku nan 	苦難	c=3 d=0.0737123 t=211804
ku nan nv 	苦難女	c=7 d=0.740818 t=211804
ku nao 	苦惱	c=6 d=2.07536e-31 t=211804
ku qing 	苦情	c=1 d=0.0132336 t=211804
ku shou 	苦守	c=1 d=0.0898153 t=211804
ku tong 	苦痛	c=2 d=1 t=189629
ku xiao 	苦笑	c=2 d=1 t=205310
ku xiao yi sheng 	苦笑一聲	c=1 d=1 t=184011
ku zao 	枯燥	c=1 d=0.000441647 t=211804
ku zhong zuo le 	苦中作樂	c=1 d=8.64847e-28 t=211804
kua 	誇	c=2 d=0.00155699 t=211804
kua 	跨	c=2 d=3.52782e-09 t=211804
kua ban 	跨班	c=1 d=1 t=170664
kua da 	誇大	c=2 d=1.61098e-51 t=211804
kua diao 	垮掉	c=1 d=1.1335e-33 t=211804
kua guo 	跨國	c=1 d=0.0368832 t=211804
kua jie 	跨界	c=2 d=4.90109e-23 t=211804
kua kua 	誇誇	c=3 d=0.00372014 t=211804
kua ping tai 	跨平臺	c=2 d=0.00474815 t=211804
kua ren 	夸人	c=2 d=0.00153988 t=211804
kua yu 	跨域	c=1 d=7.81215e-08 t=211804
kua yue 	跨越	c=3 d=0.276651 t=211804
kua zhang 	誇張	c=4 d=2.18296e-08 t=211804
kua zhuan ye 	跨專業	c=1 d=3.54551e-08 t=211804
kuai 	塊	c=47 d=0.0898153 t=211804
kuai 	快	c=21 d=0.257947 t=211804
kuai biao 	塊表	c=1 d=1.52109e-52 t=211804
kuai biao 	快表	c=1 d=1.52871e-52 t=211804
kuai da xiao 	塊大小	c=3 d=2.26493e-21 t=211804
kuai di 	快遞	c=8 d=5.54516e-05 t=211804
kuai di dian 	快遞點	c=1 d=3.45609e-31 t=211804
kuai di gong si 	快遞公司	c=2 d=1.41478 t=190326
kuai di gui 	快遞櫃	c=1 d=1 t=190158
kuai di yuan 	快遞員	c=2 d=1.40252 t=190351
kuai dian 	快點	c=2 d=2.65388e-12 t=211804
kuai hen duo 	快很多	c=1 d=6.45573e-29 t=211804
kuai huo 	快活	c=4 d=1.91281e-05 t=211804
kuai jie 	快捷	c=3 d=8.61294e-09 t=211804
kuai jie jian 	快捷鍵	c=3 d=2.58211e-13 t=211804
kuai kong jian 	塊空間	c=1 d=1.85508e-05 t=211804
kuai le 	快了	c=2 d=0.023287 t=211804
kuai le 	快樂	c=5 d=0.000731802 t=211804
kuai le hen duo 	快樂很多	c=1 d=0.00704808 t=211804
kuai pai 	快排	c=15 d=0.243334 t=211804
kuai pai yi yang 	快排一樣	c=1 d=9.21831e-14 t=211804
kuai pao 	快跑	c=0 d=2.74981e-19 t=211804
kuai pao a 	快跑啊	c=1 d=2.76359e-18 t=211804
kuai she bei 	塊設備	c=2 d=5.34816e-80 t=211804
kuai shu 	塊數	c=2 d=3.04105e-44 t=211804
kuai su 	快速	c=34 d=0.296575 t=211804
kuai su bian qian 	快速變遷	c=1 d=8.94434e-12 t=211804
kuai su mi 	快速冪	c=1 d=6.64307e-42 t=211804
kuai su pai xu 	快速排序	c=4 d=1.44686e-09 t=211804
kuai yao 	快要	c=0 d=0.0130029 t=211804
kuai yao bao zha le 	快要爆炸了	c=1 d=0.13068 t=211804
kuai zi 	筷子	c=1 d=7.79066e-05 t=211804
kuan 	寬	c=1 d=2.0224e-21 t=211804
kuan chang 	寬敞	c=2 d=1 t=209894
kuan da 	寬大	c=0 d=2.21399e-28 t=211804
kuan dai 	寬帶	c=1 d=4.08025e-43 t=211804
kuan du 	寬度	c=9 d=0.000495484 t=211804
kuan shu 	寬恕	c=1 d=1.15675e-66 t=211804
kuan xiang 	款項	c=1 d=1 t=180987
kuang 	框	c=1 d=0.0120342 t=211804
kuang 	狂	c=2 d=0.000103597 t=211804
kuang 	筐	c=1 d=1 t=154466
kuang ao 	狂傲	c=1 d=0.249075 t=211804
kuang bao 	狂暴	c=1 d=1 t=190707
kuang ben 	狂奔	c=1 d=1 t=156494
kuang fang 	狂放	c=0 d=1.11704e-09 t=211804
kuang fang de 	狂放的	c=1 d=1.12264e-08 t=211804
kuang fei 	狂吠	c=1 d=1.63844e-44 t=211804
kuang jia 	框架	c=34 d=0.0026462 t=211804
kuang jia ai 	框架哎	c=1 d=0.00188279 t=211804
kuang jia xia 	框架下	c=1 d=2.9757e-35 t=211804
kuang mo 	狂魔	c=1 d=0.00980366 t=211804
kuang qie 	況且	c=2 d=0.00369786 t=211804
kuang quan shui 	礦泉水	c=2 d=1.04528 t=181375
kuang re 	狂熱	c=4 d=0.00232276 t=211804
kuang re de 	狂熱的	c=1 d=2.66763e-14 t=211804
kuang re zhe 	狂熱者	c=1 d=2.81349e-52 t=211804
kuang xi 	狂喜	c=2 d=2.65939e-07 t=211804
kuang xiao 	狂嘯	c=1 d=8.87222e-05 t=211804
kui 	奎	c=0 d=2.49491e-51 t=211804
kui 	窺	c=1 d=1.08421e-10 t=211804
kui dui 	愧對	c=1 d=2.42959e-32 t=211804
kui fa 	匱乏	c=3 d=3.75631e-11 t=211804
kui jian 	窺見	c=1 d=0.000258659 t=211804
kui lei 	傀儡	c=1 d=5.18366e-06 t=211804
kui lei xi 	傀儡戲	c=1 d=4.90625e-06 t=211804
kui si te 	奎斯特	c=1 d=2.98756e-24 t=211804
kui sun 	虧損	c=1 d=0.22313 t=211804
kui sun zhen 	虧損陣	c=1 d=3.08494e-18 t=211804
kui tui 	潰退	c=1 d=4.0577e-66 t=211804
kui wei 	睽違	c=2 d=2.44226e-05 t=211804
kun 	坤	c=5 d=2.30749e-43 t=211804
kun 	昆	c=1 d=0.869358 t=211804
kun 	菎	c=0 d=0.1 t=183033
kun ge 	坤哥	c=3 d=1.00538 t=168158
kun huo 	困惑	c=1 d=1 t=154848
kun jing 	困境	c=4 d=1 t=208882
kun ju 	崑劇	c=1 d=0.146607 t=211804
kun juan 	睏倦	c=0 d=1.3338e-66 t=211804
kun juan de 	睏倦的	c=1 d=1.34048e-65 t=211804
kun lun 	崑崙	c=11 d=0.0123404 t=211804
kun nan 	困難	c=57 d=0.744532 t=211804
kun nan de 	困難的	c=2 d=0.380983 t=211804
kun nan le 	困難了	c=2 d=0.856415 t=211804
kun qu 	崑曲	c=22 d=1.15938 t=211804
kun qu ke 	崑曲課	c=1 d=0.937067 t=211804
kun qu yi shu 	崑曲藝術	c=2 d=0.156954 t=211804
kun qu zhong 	崑曲中	c=1 d=0.0547488 t=211804
kun rao 	困擾	c=4 d=0.000611253 t=211804
kun wu 	昆吾	c=1 d=6.91558e-15 t=211804
kun zai 	困在	c=4 d=2.91231e-17 t=211804
kun zou 	捆走	c=1 d=1.06054e-15 t=211804
kuo 	括	c=1 d=1.23771e-09 t=211804
kuo chong 	擴充	c=2 d=0.025223 t=211804
kuo da 	擴大	c=8 d=0.00111936 t=211804
kuo hao 	括號	c=13 d=1.73502e-12 t=211804
kuo hao biao shi fa 	括號表示法	c=1 d=1 t=193680
kuo qi lai 	括起來	c=1 d=5.84536e-37 t=211804
kuo san 	擴散	c=1 d=1 t=192287
kuo zhan 	擴展	c=36 d=0.255406 t=211804
kuo zhan cao 	擴展槽	c=1 d=1.04329e-28 t=211804
kuo zhan ming 	擴展名	c=3 d=0.600496 t=211804
kuo zhan xing 	擴展性	c=3 d=0.000746043 t=211804
l e n g t h 	length	c=1 d=0.000812821 t=211804
la 	啦	c=34 d=0.970446 t=211804
la 	拉	c=7 d=8.97818e-27 t=211804
la bi 	蠟筆	c=1 d=3.91147e-46 t=211804
la dao 	拉到	c=1 d=1 t=181835
la dao yi bian 	拉到一邊	c=1 d=4.59343e-25 t=211804
la ding wen zi 	拉丁文字	c=3 d=2.08753e-25 t=211804
la ding yu 	拉丁語	c=1 d=0.00136037 t=211804
la ding zi mu 	拉丁字母	c=1 d=6.83607e-26 t=211804
la ge lang ri 	拉格朗日	c=1 d=3.70909e-68 t=211804
la ge qun 	拉個羣	c=4 d=1.01349e-40 t=211804
la guo lai 	拉過來	c=3 d=3.12338e-46 t=211804
la ji 	垃圾	c=5 d=2.47446e-12 t=211804
la ji fen lei 	垃圾分類	c=10 d=9.86759e-13 t=211804
la ji tong 	垃圾桶	c=4 d=2.28566e-21 t=211804
la jin 	拉近	c=2 d=0.000278804 t=211804
la jin lai 	拉進來	c=1 d=1 t=171909
la jin qu 	拉進去	c=1 d=9.16765e-08 t=211804
la kai 	拉開	c=1 d=1 t=176132
la ke 	拉克	c=0 d=0.000149594 t=211804
la ke 	拉客	c=1 d=3.8598e-66 t=211804
la ke li 	拉克裏	c=2 d=0.00362628 t=211804
la ni 	拉你	c=1 d=1 t=173943
la pi tiao 	拉皮條	c=1 d=2.12906e-08 t=211804
la piao 	拉票	c=1 d=5.28893e-66 t=211804
la pu la si 	拉普拉斯	c=5 d=0.754371 t=211804
la qi 	拉起	c=1 d=2.79137e-18 t=211804
la qu 	拉取	c=2 d=1.24994e-07 t=211804
la ta 	邋遢	c=1 d=3.13103e-16 t=211804
la wo 	拉我	c=1 d=0.263158 t=211804
la xia 	落下	c=1 d=6.63989e-07 t=211804
la xia le 	落下了	c=1 d=1.20839e-21 t=211804
la yi bo 	拉一波	c=1 d=1.84163e-37 t=211804
la zhe 	拉着	c=1 d=3.37546e-18 t=211804
la zhuai 	拉拽	c=1 d=5.51339e-55 t=211804
la zou 	拉走	c=1 d=3.16798e-07 t=211804
lai 	來	c=268 d=0.923963 t=211804
lai a 	來啊	c=1 d=1 t=167889
lai ba 	來吧	c=2 d=6.77582e-18 t=211804
lai biao shi 	來表示	c=1 d=5.70104e-37 t=211804
lai bu ji 	來不及	c=9 d=3.14458e-08 t=211804
lai bu ji gai 	來不及改	c=1 d=2.17806e-11 t=211804
lai bu liao 	來不了	c=3 d=3.60779e-07 t=211804
lai bu tai 	來不太	c=1 d=6.17922e-14 t=211804
lai bu tai ji 	來不太及	c=2 d=6.21019e-14 t=211804
lai chun 	來春	c=0 d=6.76207e-46 t=211804
lai dao 	來到	c=12 d=0.0376283 t=211804
lai dao le 	來到了	c=1 d=1.03738e-20 t=211804
lai de 	來的	c=5 d=2.62113e-13 t=211804
lai de ji 	來得及	c=4 d=0.331211 t=211804
lai de kuai 	來得快	c=1 d=1 t=197627
lai de ma 	來的嗎	c=1 d=1.58677e-20 t=211804
lai du liang 	來度量	c=1 d=4.02224e-51 t=211804
lai fa 	來發	c=1 d=2.39138e-22 t=211804
lai gao 	來稿	c=2 d=1.0131e-26 t=211804
lai ge 	來個	c=2 d=1.69292e-21 t=211804
lai guo 	來過	c=1 d=2.76548e-26 t=211804
lai he 	來和	c=1 d=0.0144076 t=211804
lai hui 	來回	c=1 d=0.00065886 t=211804
lai jiang 	來講	c=10 d=0.000587285 t=211804
lai jing 	來京	c=1 d=1.3138e-05 t=211804
lai kan 	來看	c=44 d=0.000142669 t=211804
lai la 	來啦	c=1 d=1 t=164247
lai le 	來了	c=4 d=0.000256085 t=211804
lai li 	來歷	c=1 d=0.000136389 t=211804
lai lin 	來臨	c=4 d=1 t=209070
lai long qu mai 	來龍去脈	c=1 d=0.932394 t=211804
lai miao shu 	來描述	c=1 d=1.18362e-42 t=211804
lai pian 	來篇	c=1 d=1 t=181745
lai qu 	來去	c=1 d=0.00835412 t=211804
lai ri 	來日	c=1 d=1 t=199900
lai she zhi 	來設置	c=1 d=1.6169e-06 t=211804
lai shuo 	來說	c=111 d=0.691975 t=211804
lai shuo shuo 	來說說	c=1 d=7.30162e-07 t=211804
lai wan cheng 	來完成	c=1 d=0.0117959 t=211804
lai xi 	來襲	c=3 d=1.75395e-22 t=211804
lai yi 	來矣	c=1 d=0.008271 t=211804
lai yi 	賴以	c=0 d=0.1 t=185650
lai yi bin 	賴以邠	c=1 d=1 t=173843
lai yi ci 	來一次	c=1 d=1 t=159114
lai yi dun 	來一頓	c=1 d=3.28932e-08 t=211804
lai yi fa 	來一發	c=2 d=1.04205e-14 t=211804
lai yi huo ming 	賴以活命	c=1 d=1 t=185651
lai yi sheng cun 	賴以生存	c=1 d=0.108067 t=211804
lai yin 	萊因	c=0 d=0.1 t=173844
lai yin bao 	來引爆	c=1 d=1 t=173844
lai yin bao 	萊因寶	c=1 d=1 t=173845
lai yuan 	來源	c=18 d=0.327915 t=211804
lai yuan yu 	來源於	c=3 d=1.64984e-08 t=211804
lai zhe 	來着	c=18 d=0.0011035 t=211804
lai zhe bu ju 	來者不拒	c=1 d=0.0202419 t=211804
lai zhe er 	來這兒	c=1 d=2.19159e-25 t=211804
lai zhe li 	來這裏	c=2 d=3.89209e-17 t=211804
lai zi 	來自	c=21 d=0.149714 t=211804
lai zi yu 	來自於	c=2 d=2.05465e-60 t=211804
lai zuo 	來做	c=2 d=9.19891e-48 t=211804
lambda 	Λ	c=1 d=3.19482e-18 t=211804
lambda 	λ	c=10 d=0.0892088 t=211804
lan 	婪	c=1 d=1 t=194613
lan 	懶	c=4 d=0.0461896 t=211804
lan 	攬	c=2 d=0.00194986 t=211804
lan 	欄	c=1 d=7.58127e-08 t=211804
lan 	濫	c=1 d=0.18452 t=211804
lan 	爛	c=1 d=1.09265e-13 t=211804
lan 	藍	c=1 d=5.42761e-47 t=211804
lan de 	懶得	c=4 d=9.00784e-07 t=211804
lan de kan 	懶得看	c=1 d=1.05303e-49 t=211804
lan duo 	懶惰	c=1 d=4.05576e-31 t=211804
lan jiao 	濫交	c=1 d=1 t=191099
lan jie 	攔截	c=3 d=4.6014e-16 t=211804
lan mu 	欄目	c=8 d=0.414783 t=211804
lan ren 	懶人	c=1 d=1.82392e-41 t=211804
lan san 	懶散	c=3 d=1 t=186892
lan se 	藍色	c=2 d=1.80583e-12 t=211804
lan xu 	攔蓄	c=0 d=3.04584e-16 t=211804
lan yang yang 	懶洋洋	c=1 d=0.000149981 t=211804
lan yong 	濫用	c=7 d=8.50667e-10 t=211804
lan zheng 	懶政	c=1 d=1 t=208149
lang 	浪	c=1 d=0.00133343 t=211804
lang 	狼	c=2 d=3.09386e-05 t=211804
lang chao 	浪潮	c=3 d=1 t=192090
lang fei 	浪費	c=16 d=0.00262147 t=211804
lang hua 	浪花	c=1 d=1.58047e-32 t=211804
lang man zhu yi 	浪漫主義	c=1 d=2.07614e-06 t=211804
lang ren 	浪人	c=4 d=3.899 t=182721
lang ya 	琅琊	c=1 d=0.120032 t=211804
lang zhong 	郎中	c=0 d=8.46281e-09 t=211804
lao 	佬	c=1 d=8.33539e-06 t=211804
lao 	勞	c=2 d=1 t=207953
lao 	老	c=11 d=0.748264 t=211804
lao ai 	嫪毐	c=1 d=0.209088 t=211804
lao ai de 	勞埃德	c=1 d=1 t=207954
lao bai xing 	老百姓	c=2 d=8.20823e-31 t=211804
lao ban 	老闆	c=2 d=0.0238732 t=211804
lao ban ben 	老版本	c=2 d=1.61971e-48 t=211804
lao ban fa 	老辦法	c=1 d=0.0285814 t=211804
lao ben hang 	老本行	c=2 d=1.31734e-29 t=211804
lao che 	老車	c=2 d=0.0098528 t=211804
lao da 	老大	c=3 d=0.0541679 t=211804
lao dao 	嘮叨	c=1 d=7.94939e-07 t=211804
lao diao ya 	老掉牙	c=1 d=2.52926e-05 t=211804
lao dong 	勞動	c=23 d=0.0635123 t=211804
lao dong chan pin 	勞動產品	c=1 d=1 t=190758
lao dong jia zhi lun 	勞動價值論	c=1 d=1 t=190783
lao dong jiao yang 	勞動教養	c=1 d=8.41459e-29 t=211804
lao dong li 	勞動力	c=3 d=0.173774 t=211804
lao dong liang 	勞動量	c=1 d=1.38809e-05 t=211804
lao dong mi ji 	勞動祕技	c=1 d=1 t=190935
lao dong na ge 	勞動那個	c=1 d=0.00192083 t=211804
lao dong ren min 	勞動人民	c=6 d=0.29523 t=211804
lao dong zhe 	勞動者	c=2 d=1.98511 t=190763
lao gan bu 	老幹部	c=1 d=7.28276e-06 t=211804
lao ge 	老哥	c=67 d=0.0562289 t=211804
lao ge men 	老哥們	c=2 d=1 t=175602
lao ge shou 	老歌手	c=1 d=2.18898e-11 t=211804
lao gong 	勞工	c=3 d=1.90484 t=206623
lao guan 	老館	c=2 d=7.39259e-35 t=211804
lao hu qian 	老虎鉗	c=3 d=1.84205e-21 t=211804
lao hua 	老化	c=1 d=3.4217e-31 t=211804
lao hua 	老話	c=1 d=1.34679e-32 t=211804
lao ji 	牢記	c=2 d=0.516851 t=211804
lao ji shi ming 	牢記使命	c=1 d=3.24145e-12 t=211804
lao jin cheng 	老進程	c=1 d=1.46982e-31 t=211804
lao jiu 	老舊	c=1 d=1 t=206689
lao ku 	勞苦	c=0 d=0.1 t=186408
lao ku da zhong 	勞苦大衆	c=1 d=1 t=186409
lao lang 	老狼	c=1 d=8.45677e-29 t=211804
lao le 	老了	c=1 d=2.88088e-08 t=211804
lao le yi sui 	老了一歲	c=1 d=2.89532e-07 t=211804
lao po 	老婆	c=1 d=1 t=210496
lao ren 	老人	c=1 d=7.0673e-35 t=211804
lao sao 	牢騷	c=2 d=2.11362e-40 t=211804
lao shi 	老實	c=1 d=0.127454 t=211804
lao shi 	老師	c=113 d=1.17905 t=211804
lao shi hao 	老師好	c=5 d=2.50145e-22 t=211804
lao shi shuo 	老實說	c=1 d=0.0170774 t=211804
lao shi tong xue 	老師同學	c=1 d=1 t=167106
lao shu 	老鼠	c=1 d=0.000509243 t=211804
lao si 	勞斯	c=2 d=4.09148e-38 t=211804
lao tao lu 	老套路	c=1 d=1 t=163001
lao tong xue 	老同學	c=1 d=1 t=197428
lao wang 	老汪	c=2 d=1.12612e-15 t=211804
lao wang 	老王	c=1 d=2.67636e-23 t=211804
lao wu 	勞務	c=1 d=1 t=175100
lao wu fei 	勞務費	c=2 d=1.87372 t=164195
lao xi mi 	老戲迷	c=3 d=0.130916 t=211804
lao xia 	烙下	c=1 d=1 t=178783
lao xue zhang 	老學長	c=1 d=1.65637e-25 t=211804
lao yan fen fei 	勞燕分飛	c=2 d=4.10152e-07 t=211804
lao yi bei 	老一輩	c=2 d=1.41066 t=187487
lao yi shu 	老異數	c=6 d=0.0902819 t=211804
lao yin 	烙印	c=2 d=6.93557e-41 t=211804
lao ying 	老鷹	c=1 d=4.37685e-45 t=211804
lao you tiao 	老油條	c=1 d=1 t=197892
lao zhang 	老章	c=1 d=3.73097e-49 t=211804
lao zhuan ji 	佬專輯	c=1 d=1.99575e-12 t=211804
le 	了	c=2313 d=4.22749 t=211804
le 	勒	c=1 d=1.64179e-69 t=211804
le 	嘞	c=1 d=6.88694e-25 t=211804
le 	樂	c=4 d=1.80927e-05 t=211804
le ba 	了吧	c=1 d=1 t=162713
le fan 	了翻	c=1 d=1 t=179212
le guan 	樂觀	c=3 d=2.65939e-07 t=211804
le guan de 	樂觀的	c=1 d=7.65697e-66 t=211804
le le 	樂樂	c=1 d=1.25741e-77 t=211804
le ma 	了嗎	c=6 d=0.0387742 t=211804
le me 	了麼	c=3 d=1.51893e-05 t=211804
le qu 	樂趣	c=2 d=5.2493e-07 t=211804
le rang de 	勒讓德	c=2 d=3.49189e-68 t=211804
le suo 	勒索	c=1 d=9.16579e-35 t=211804
le wan 	了玩	c=1 d=1 t=159920
le yi xia 	了一下	c=4 d=2.18824e-07 t=211804
le yi xie 	了一些	c=2 d=0.0028799 t=211804
le yu 	樂於	c=1 d=1 t=181384
lei 	磊	c=1 d=1.07324e-08 t=211804
lei 	累	c=4 d=0.0238732 t=211804
lei 	類	c=62 d=0.771075 t=211804
lei bi 	類比	c=2 d=6.97535e-28 t=211804
lei bie 	類別	c=7 d=2.71311e-08 t=211804
lei de 	雷德	c=0 d=9.09189e-29 t=211804
lei de wa er de 	雷德瓦爾德	c=1 d=9.13746e-28 t=211804
lei dian 	雷電	c=1 d=5.46539e-11 t=211804
lei gui 	雷鬼	c=4 d=9.0327e-10 t=211804
lei hen 	淚痕	c=2 d=2.26618e-07 t=211804
lei huo 	累活	c=1 d=3.8839e-51 t=211804
lei ji 	累積	c=8 d=2.30475e-07 t=211804
lei ji 	累計	c=2 d=1.73726e-09 t=211804
lei jia 	累加	c=2 d=1.30432e-08 t=211804
lei jia qi 	累加器	c=1 d=7.29493e-55 t=211804
lei li 	雷利	c=1 d=1.00724e-26 t=211804
lei li feng xing 	雷厲風行	c=2 d=2.77603e-12 t=211804
lei nao 	類腦	c=2 d=1.38156e-52 t=211804
lei nao ji suan 	類腦計算	c=1 d=1.30921e-52 t=211804
lei ruo 	羸弱	c=1 d=1 t=199154
lei shen 	雷神	c=0 d=3.77899e-24 t=211804
lei shen shan 	雷神山	c=1 d=3.79793e-23 t=211804
lei shu 	類屬	c=1 d=9.31065e-43 t=211804
lei si 	類似	c=83 d=0.89036 t=211804
lei si de 	類似的	c=2 d=6.02357e-08 t=211804
lei si le 	累死了	c=1 d=1.07954e-18 t=211804
lei si yu 	類似於	c=8 d=1.81396e-06 t=211804
lei xi 	累席	c=2 d=0.00400585 t=211804
lei xing 	類型	c=125 d=0.220059 t=211804
lei xing can shu 	類型參數	c=1 d=2.86154e-16 t=211804
lei xing jian cha 	類型檢查	c=1 d=9.76441e-44 t=211804
lei xing xi tong 	類型系統	c=2 d=2.28382e-10 t=211804
lei xing zhuan huan 	類型轉換	c=3 d=0.000256085 t=211804
leng 	冷	c=0 d=4.55315e-40 t=211804
leng dan 	冷淡	c=1 d=2.70418e-27 t=211804
leng dan de 	冷淡的	c=1 d=3.76475e-08 t=211804
leng feng 	冷風	c=1 d=1 t=154688
leng jiao 	棱角	c=1 d=1.83088e-27 t=211804
leng jing 	冷靜	c=3 d=0.032881 t=211804
leng ku 	冷酷	c=3 d=2.54085e-11 t=211804
leng mian 	冷麪	c=1 d=1 t=207949
leng mo de 	冷漠的	c=1 d=5.6784e-49 t=211804
leng qi dong 	冷啓動	c=1 d=2.15706e-44 t=211804
leng que 	冷卻	c=1 d=4.85909e-10 t=211804
leng xin han 	冷心寒	c=1 d=4.57597e-39 t=211804
li 	例	c=14 d=1.80285e-08 t=211804
li 	利	c=8 d=0.00526413 t=211804
li 	力	c=3 d=3.29783e-09 t=211804
li 	李	c=20 d=0.850136 t=211804
li 	犁	c=1 d=9.97014e-54 t=211804
li 	理	c=1 d=0.0100518 t=211804
li 	禮	c=4 d=2.78688e-11 t=211804
li 	立	c=5 d=1.62302e-21 t=211804
li 	裏	c=302 d=1.29265 t=211804
li 	離	c=9 d=2.08761e-12 t=211804
li 	麗	c=2 d=2.00951e-34 t=211804
li an 	立案	c=1 d=1 t=198746
li bao 	禮包	c=3 d=7.47349e-16 t=211804
li bu chu 	理不出	c=1 d=0.0939493 t=211804
li bu kai 	離不開	c=4 d=1.1366e-05 t=211804
li chang 	立場	c=3 d=3.76731e-16 t=211804
li chao 	歷朝	c=1 d=1.28329e-52 t=211804
li cheng 	例程	c=17 d=0.244188 t=211804
li cheng 	歷程	c=7 d=0.00957015 t=211804
li chun bo 	李春波	c=1 d=8.10144e-24 t=211804
li da yu bi 	利大於弊	c=1 d=1 t=198182
li dai 	歷代	c=2 d=2.45568e-40 t=211804
li dao 	李導	c=7 d=1.16203 t=174954
li de 	裏的	c=2 d=1 t=189307
li dian hang 	李典航	c=1 d=1 t=206354
li ding tiao yuan 	立定跳遠	c=1 d=8.51219e-47 t=211804
li dong yang 	李東陽	c=1 d=1 t=180325
li du 	力度	c=3 d=1.13585e-28 t=211804
li du 	粒度	c=7 d=1.01895e-15 t=211804
li dui 	鯉對	c=1 d=1.83531e-26 t=211804
li en 	裏嗯	c=1 d=1 t=173280
li fa 	立法	c=2 d=1.95123 t=164645
li fa quan 	立法權	c=2 d=1.99501 t=164630
li fa shi 	理髮師	c=1 d=1 t=183389
li fang gen 	立方根	c=1 d=5.35444e-05 t=211804
li fang ti 	立方體	c=0 d=1.70937e-73 t=211804
li gong ke 	理工科	c=1 d=4.99329e-07 t=211804
li gong nan 	理工男	c=1 d=1.00327e-09 t=211804
li gui qin 	李桂琴	c=1 d=0.0706512 t=211804
li hai 	厲害	c=3 d=1.58789e-06 t=211804
li hao 	利好	c=1 d=4.7975e-07 t=211804
li hong liang 	李鴻良	c=2 d=0.0876681 t=211804
li huan 	罹患	c=1 d=2.73647e-49 t=211804
li hui 	例會	c=60 d=1.35269 t=211804
li hun 	離婚	c=2 d=1 t=206722
li hun leng jing qi 	離婚冷靜期	c=2 d=1 t=197259
li ji 	立即	c=6 d=1.70832e-06 t=211804
li ji shu 	立即數	c=1 d=1.89501e-79 t=211804
li ji shu 	裏技術	c=1 d=1.88556e-79 t=211804
