# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
ru shui 	入睡	c=1 d=1 t=32259
ru tong 	如同	c=2 d=5.11883e-05 t=36939
ru tu 	如圖	c=1 d=1 t=30392
ru xia 	如下	c=27 d=0.643328 t=36939
ru xiao 	入校	c=1 d=0.000710174 t=36939
ru you 	如有	c=1 d=4.2682e-14 t=36939
ruan gong 	軟工	c=4 d=0.0889216 t=36939
ruan jian 	軟件	c=8 d=0.123687 t=36939
ruan jian gong cheng 	軟件工程	c=4 d=0.0746459 t=36939
ruan jian kai fa 	軟件開發	c=1 d=5.96364e-08 t=36939
ruan jian xue yuan 	軟件學院	c=1 d=0.00292342 t=36939
ruan ruo 	軟弱	c=1 d=1 t=32669
rui qi qian tiao 	瑞氣千條	c=1 d=1.11147e-08 t=36939
run 	潤	c=0 d=1.16263e-09 t=36939
ruo 	弱	c=1 d=1 t=34172
ruo 	若	c=6 d=0.308819 t=36939
ruo bu neng 	若不能	c=1 d=0.529935 t=36939
ruo dian 	弱點	c=1 d=2.51707e-07 t=36939
ruo fei 	若非	c=1 d=1 t=34356
ruo fou 	若否	c=1 d=0.591555 t=36939
ruo gan 	若干	c=1 d=1 t=34369
ruo hua 	弱化	c=1 d=3.78297e-06 t=36939
ruo ji 	弱雞	c=1 d=9.21203e-06 t=36939
ruo ji ruo li 	若即若離	c=1 d=2.30638e-08 t=36939
ruo neng 	若能	c=1 d=4.64528e-10 t=36939
ruo shi 	若是	c=2 d=0.390628 t=36939
ruo wei 	若爲	c=1 d=3.45738e-06 t=36939
ruo xiang deng 	若相等	c=1 d=1.20113e-09 t=36939
ruo yao 	若要	c=1 d=2.98299e-05 t=36939
ruo zai 	若在	c=2 d=1.97045 t=36886
sa 	撒	c=5 d=4.41598e-09 t=36939
sa fei 	薩菲	c=3 d=2.57457e-08 t=36939
sa huang 	撒謊	c=1 d=1 t=33006
sa zai 	灑在	c=1 d=4.89359e-05 t=36939
sai 	賽	c=1 d=7.7518e-05 t=36939
sai cheng 	賽程	c=8 d=0.00790075 t=36939
sai gao 	賽高	c=1 d=5.53273e-08 t=36939
san 	三	c=15 d=0.830645 t=36939
san 	傘	c=2 d=2.09501 t=33699
san bai 	三百	c=1 d=0.0407622 t=36939
san bai hang 	三百行	c=1 d=6.82444e-06 t=36939
san bian 	三遍	c=1 d=0.00615802 t=36939
san bu 	散步	c=1 d=0.280832 t=36939
san bu zhe 	散佈着	c=1 d=1.38474e-06 t=36939
san bu zou 	三步走	c=2 d=1.956 t=31357
san chong 	三重	c=1 d=0.00208081 t=36939
san ci 	三次	c=1 d=0.00369786 t=36939
san da 	三大	c=-1 d=0 t=36939
san dao 	三刀	c=1 d=0.0280154 t=36939
san duan 	三段	c=1 d=0.214381 t=36939
san fen zhi yi 	三分之一	c=1 d=0.0020396 t=36939
san ge 	三個	c=13 d=1.1158 t=36939
san ge fang xiang 	三個方向	c=1 d=0.00582847 t=36939
san ge nv er 	三個女兒	c=1 d=0.0165727 t=36939
san ge ping tai 	三個平臺	c=1 d=1 t=35480
san ge ren 	三個人	c=4 d=0.00140439 t=36939
san ge yuan su 	三個元素	c=2 d=0.00412784 t=36939
san gu 	三顧	c=4 d=1.22896 t=36939
san guo 	三國	c=2 d=0.332871 t=36939
san guo yan yi 	三國演義	c=1 d=0.000804733 t=36939
san guo zhi 	三國志	c=3 d=0.147177 t=36939
san jiao 	三教	c=2 d=7.19868e-07 t=36939
san jiao 	三角	c=1 d=4.04886e-11 t=36939
san jiao yi jia 	三教一家	c=8 d=0.260542 t=36939
san kuan 	三款	c=1 d=1 t=33408
san lu 	三路	c=5 d=0.00890299 t=36939
san lu pai xu 	三路排序	c=1 d=0.0037164 t=36939
san luan 	散亂	c=1 d=5.11839e-05 t=36939
san luan zhe 	散亂着	c=1 d=5.35444e-05 t=36939
san mo ling 	三魔靈	c=1 d=2.41796e-05 t=36939
san nian 	三年	c=0 d=7.69323e-05 t=36939
san nian guo qu le 	三年過去了	c=1 d=0.000773179 t=36939
san qu yang 	三取樣	c=1 d=2.09772e-10 t=36939
san ri 	三日	c=0 d=0.1 t=32220
san shao ye 	三少爺	c=1 d=0.000858778 t=36939
san shi 	三十	c=1 d=0.0837432 t=36939
san shi 	三石	c=1 d=1 t=28590
san shi lai sui 	三十來歲	c=1 d=2.15639e-11 t=36939
san shi nian qian 	三十年前	c=1 d=1.76065e-08 t=36939
san si 	三四	c=0 d=0.000130703 t=36939
san si bai zi 	三四白字	c=1 d=0.00131358 t=36939
san tong 	三通	c=4 d=7.5312e-10 t=36939
san tong huo sai 	三通活塞	c=2 d=4.32208e-10 t=36939
san wei 	三維	c=2 d=0.00444509 t=36939
san xia 	三峽	c=2 d=4.34452e-09 t=36939
san xia da ba 	三峽大壩	c=1 d=3.09029e-09 t=36939
san xian 	三線	c=0 d=2.57457e-09 t=36939
san xian bai 	三線擺	c=1 d=2.58747e-08 t=36939
san xiang 	三項	c=1 d=1 t=33548
san xiao 	三梟	c=1 d=0.349938 t=36939
san zhong 	三種	c=5 d=0.843299 t=36939
san zhong ke neng 	三種可能	c=1 d=1 t=36226
san zhong quan hui 	三中全會	c=1 d=3.44963e-09 t=36939
sao miao 	掃描	c=1 d=0.00663763 t=36939
se 	澀	c=1 d=0.0127784 t=36939
se cai 	色彩	c=2 d=0.782705 t=36939
se ka 	色卡	c=3 d=1.74132 t=33614
se kong 	色空	c=9 d=2.78734 t=36939
se xi 	色系	c=1 d=0.000480828 t=36939
seng ni 	僧尼	c=1 d=0.226502 t=36939
sha 	啥	c=1 d=1 t=29449
sha 	殺	c=3 d=0.0459593 t=36939
sha 	煞	c=0 d=0.0362402 t=36939
sha diao 	殺掉	c=1 d=0.0578443 t=36939
sha long 	沙龍	c=0 d=0.1 t=33370
sha mo 	沙漠	c=1 d=1.72103e-05 t=36939
sha qiu 	沙丘	c=1 d=3.52962e-14 t=36939
sha ren mie kou 	殺人滅口	c=1 d=0.0672055 t=36939
sha shi 	傻事	c=1 d=1 t=35002
sha shou 	殺手	c=1 d=5.30206e-07 t=36939
shai xuan 	篩選	c=3 d=0.000582781 t=36939
shan 	山	c=1 d=0.00930145 t=36939
shan 	衫	c=0 d=0.1 t=36718
shan 	閃	c=1 d=1.11704e-08 t=36939
shan bian 	善變	c=1 d=0.0284388 t=36939
shan chang 	擅長	c=3 d=0.157237 t=36939
shan chu 	刪除	c=30 d=0.66589 t=36939
shan chu le 	刪除了	c=1 d=4.35146e-06 t=36939
shan chu shi bai 	刪除失敗	c=1 d=1.2601e-14 t=36939
shan diao 	刪掉	c=4 d=0.831113 t=36939
shan e 	善惡	c=2 d=0.00143012 t=36939
shan gao 	山高	c=0 d=6.37845e-06 t=36939
shan le 	刪了	c=1 d=1 t=31219
shan po yang 	山坡羊	c=1 d=0.794534 t=36939
shan yi ming bu xiang 	山醫命卜相	c=1 d=0.0833256 t=36939
shan yu 	善於	c=1 d=0.0285814 t=36939
shang 	上	c=69 d=0.989513 t=36939
shang 	傷	c=2 d=0.34745 t=36939
shang 	商	c=5 d=3.83023 t=30562
shang 	尚	c=5 d=0.104874 t=36939
shang ban 	上半	c=0 d=4.32902e-05 t=36939
shang ban xue nian 	上半學年	c=1 d=0.000435072 t=36939
shang bu 	上部	c=2 d=6.55797e-08 t=36939
shang bu neng 	尚不能	c=1 d=4.55174e-06 t=36939
shang bu zhi 	尚不知	c=1 d=1 t=32387
shang ceng 	上層	c=1 d=2.36477e-08 t=36939
shang chuan 	上傳	c=19 d=0.851999 t=36939
shang chuan zhong 	上傳中	c=1 d=5.97907e-09 t=36939
shang chuang 	上牀	c=2 d=1.97531 t=32274
shang da xue 	上大學	c=1 d=1.55002e-09 t=36939
shang feng 	上風	c=1 d=0.0306538 t=36939
shang gang shang xian 	上綱上線	c=1 d=1 t=32293
shang gu 	上古	c=1 d=3.3138e-07 t=36939
shang hai 	上海	c=3 d=0.000837575 t=36939
shang hai cuan 	上海竄	c=1 d=7.05168e-09 t=36939
shang hai shi 	上海市	c=1 d=0.00265848 t=36939
shang hao 	上好	c=1 d=5.54705e-09 t=36939
shang jiao 	上交	c=1 d=1 t=34622
shang ke 	上課	c=2 d=0.00412784 t=36939
shang lai 	上來	c=1 d=0.000208619 t=36939
shang le 	上了	c=1 d=7.39535e-10 t=36939
shang le nian ji 	上了年紀	c=1 d=1.70009e-08 t=36939
shang liu she hui 	上流社會	c=1 d=1.29468e-09 t=36939
shang ma long 	尚馬龍	c=1 d=0.000769323 t=36939
shang mian 	上面	c=4 d=0.00218749 t=36939
shang pin 	商品	c=8 d=0.0526036 t=36939
shang ping 	上屏	c=1 d=0.00109172 t=36939
shang pu 	商鋪	c=1 d=6.79294e-07 t=36939
shang que 	商榷	c=0 d=0.1 t=34362
shang shan ruo shui 	上善若水	c=1 d=7.26644e-09 t=36939
shang sheng 	上升	c=4 d=0.0668717 t=36939
shang shi 	上市	c=0 d=0.00115047 t=36939
shang shi 	上式	c=1 d=2.75505e-11 t=36939
shang shi ji 	上世紀	c=1 d=8.17312e-10 t=36939
shang shu 	上述	c=11 d=0.177286 t=36939
shang suan 	上算	c=1 d=2.85173e-05 t=36939
shang suan 	尚算	c=3 d=8.68478e-05 t=36939
shang wei 	尚未	c=6 d=0.026209 t=36939
shang wen 	上文	c=1 d=0.524663 t=36939
shang wu 	商務	c=3 d=2.98506 t=31237
shang wu 	尚無	c=3 d=0.565525 t=36939
shang xian 	上線	c=2 d=1.00001 t=30978
shang xin 	上新	c=1 d=1 t=36737
shang xue qi 	上學期	c=2 d=0.0326584 t=36939
shang yan 	上演	c=1 d=0.479505 t=36939
shang ye 	商業	c=2 d=0.00101797 t=36939
shang ye hua 	商業化	c=1 d=0.0015648 t=36939
shang ye yin yue 	商業音樂	c=1 d=7.08461e-05 t=36939
shang yi 	上一	c=0 d=3.4059e-07 t=36939
shang yi ceng 	上一層	c=1 d=3.05216e-10 t=36939
shang yi dang 	上一檔	c=1 d=3.42298e-06 t=36939
shang yi ge 	上一個	c=1 d=0.913931 t=36939
shang yi hui 	上一回	c=2 d=0.0268704 t=36939
shang yi ren 	上一任	c=1 d=1.38832e-07 t=36939
shang yi ye 	上一頁	c=1 d=7.23019e-09 t=36939
shang ying 	上映	c=4 d=0.00918917 t=36939
shang zai 	尚在	c=2 d=2.68884e-11 t=36939
shang zhi 	上智	c=0 d=0.0421052 t=36939
shang zhou 	上週	c=1 d=1 t=36779
shao 	少	c=2 d=0.0228227 t=36939
shao 	燒	c=0 d=0.1 t=31395
shao ban zi 	燒板子	c=1 d=1 t=31396
shao bei 	燒杯	c=1 d=6.77931e-11 t=36939
shao bei li 	燒杯裏	c=1 d=4.95725e-10 t=36939
shao feng 	燒風	c=1 d=1.00374e-09 t=36939
shao feng sa fei 	燒風薩菲	c=1 d=1.45247e-09 t=36939
shao jia 	稍加	c=1 d=1 t=34909
shao nv 	少女	c=0 d=0.0467666 t=36939
shao shu 	少數	c=1 d=1 t=34253
shao shu ren 	少數人	c=1 d=1.48924e-09 t=36939
shao wei 	稍微	c=6 d=0.0285845 t=36939
shao ye 	少爺	c=0 d=2.24867e-05 t=36939
shao yu 	少於	c=1 d=6.75884e-10 t=36939
she 	蛇	c=0 d=0.1 t=30797
she 	設	c=3 d=0.000754089 t=36939
she bei 	設備	c=5 d=5.08358e-14 t=36939
she ben zhu mo 	捨本逐末	c=0 d=1.16022e-14 t=36939
she chi 	奢侈	c=1 d=0.000468957 t=36939
she ding 	設定	c=3 d=0.304337 t=36939
she hua 	奢華	c=1 d=0.00798652 t=36939
she hui 	社會	c=25 d=0.629128 t=36939
she hui cai fu 	社會財富	c=2 d=0.282072 t=36939
she hui gong zuo 	社會工作	c=1 d=1 t=29325
she hui guan xi 	社會關係	c=2 d=0.0111096 t=36939
she hui guan xi xue 	社會關係學	c=1 d=0.00162866 t=36939
she hui qi yue 	社會契約	c=1 d=1.01353e-11 t=36939
she hui xue 	社會學	c=1 d=1.60136e-10 t=36939
she hui zhu yi 	社會主義	c=4 d=1.38587 t=36939
she hui zhu yi zhe 	社會主義者	c=1 d=0.00082099 t=36939
she hui zuo yong 	社會作用	c=1 d=1 t=34386
she ji 	射擊	c=1 d=0.00562801 t=36939
she ji 	涉及	c=2 d=0.102797 t=36939
she ji 	設計	c=48 d=0.442697 t=36939
she ji chu 	設計出	c=1 d=1 t=34495
she ji dao 	涉及到	c=2 d=0.0374406 t=36939
she ji hao 	設計好	c=1 d=1 t=34453
she ji mo shi 	設計模式	c=4 d=0.00539835 t=36939
she ji qi 	設計器	c=4 d=3.84152e-05 t=36939
she ji si lu 	設計思路	c=1 d=1.27211e-08 t=36939
she ji tu 	設計圖	c=4 d=3.70614 t=33694
she ji wei 	設計爲	c=1 d=6.79156e-08 t=36939
she jiao 	社交	c=1 d=6.31821e-11 t=36939
she qi 	捨棄	c=1 d=1.67506e-10 t=36939
she qu 	社區	c=1 d=8.91821e-07 t=36939
she shi 	攝氏	c=1 d=6.72627e-12 t=36939
she shi 	設施	c=1 d=0.0642483 t=36939
she tuan 	社團	c=1 d=0.000731802 t=36939
she xiang 	設想	c=1 d=0.0356146 t=36939
she xiang ji 	攝像機	c=1 d=0.00582847 t=36939
she ying peng 	攝影棚	c=1 d=6.64102e-09 t=36939
she ying shi 	攝影師	c=1 d=0.00565622 t=36939
she zhi 	設置	c=26 d=0.0851361 t=36939
she zhi hao 	設置好	c=1 d=0.285076 t=36939
she zhi ti 	設置體	c=1 d=6.73909e-05 t=36939
shen 	沈	c=0 d=8.98306e-05 t=36939
shen 	深	c=1 d=0.000649559 t=36939
shen 	甚	c=2 d=0.012808 t=36939
shen 	神	c=2 d=3.96507e-08 t=36939
shen 	身	c=2 d=6.55685e-06 t=36939
shen bian 	身邊	c=1 d=0.371577 t=36939
shen bu you ji 	身不由己	c=1 d=0.00265848 t=36939
shen dao 	沈導	c=2 d=0.00125578 t=36939
shen dao 	神刀	c=0 d=0.0285076 t=36939
shen dao mo jian 	神刀魔劍	c=1 d=0.286505 t=36939
shen dian 	神殿	c=1 d=0.00433948 t=36939
shen du 	深度	c=1 d=0.00618901 t=36939
shen du zhong duan 	深度終端	c=1 d=0.00357068 t=36939
shen duan 	身段	c=5 d=1.05633 t=36939
shen fen 	身份	c=9 d=0.256661 t=36939
shen gao 	身高	c=1 d=0.111359 t=36939
shen he 	審覈	c=1 d=1 t=33718
shen jian 	神劍	c=1 d=0.299692 t=36939
shen jian mo dao 	神劍魔刀	c=1 d=0.287941 t=36939
shen jie 	神界	c=12 d=0.000149047 t=36939
shen jing 	神經	c=1 d=0.609571 t=36939
shen ke 	深刻	c=2 d=0.759572 t=36939
shen me 	什麼	c=36 d=0.209927 t=36939
shen me de 	什麼的	c=3 d=0.00289433 t=36939
shen me ne 	什麼呢	c=1 d=0.00937227 t=36939
shen me yi si 	什麼意思	c=1 d=0.017249 t=36939
shen mi 	神祕	c=1 d=1.34057e-07 t=36939
shen mi xue 	神祕學	c=1 d=0.00197932 t=36939
shen mo 	神魔	c=27 d=2.16999 t=36939
shen mo bu dai xi 	神魔布袋戲	c=1 d=5.27651e-09 t=36939
shen qian 	深潛	c=0 d=0.000551656 t=36939
shen qian zhe 	深潛者	c=1 d=0.00554422 t=36939
shen qing 	深情	c=5 d=0.00704808 t=36939
shen qing 	申請	c=4 d=1.00001 t=33573
shen ru 	深入	c=2 d=0.0159229 t=36939
shen shang 	身上	c=10 d=0.571209 t=36939
shen shen 	深深	c=2 d=1.8325e-08 t=36939
shen sheng yi 	沈勝衣	c=1 d=0.000902809 t=36939
shen shi 	紳士	c=1 d=0.00514361 t=36939
shen shi 	身世	c=1 d=0.0221482 t=36939
shen ti li xing 	身體力行	c=1 d=1 t=32496
shen ti su zhi 	身體素質	c=1 d=4.65651e-09 t=36939
shen wai zhi wu 	身外之物	c=1 d=0.0261214 t=36939
shen wei 	身爲	c=3 d=0.0206508 t=36939
shen xiang 	神相	c=0 d=1.36083e-08 t=36939
shen yi bo 	沈詣博	c=3 d=3.69849e-05 t=36939
shen zhi 	甚至	c=9 d=0.190139 t=36939
shen zhi yu 	甚至於	c=1 d=1.68753e-09 t=36939
shen zhuo 	身着	c=1 d=0.0170774 t=36939
sheng 	剩	c=0 d=9.56486e-08 t=36939
sheng 	勝	c=2 d=0.055299 t=36939
sheng 	生	c=1 d=0.422148 t=36939
sheng 	聖	c=1 d=0.00677172 t=36939
sheng 	聲	c=1 d=0.000441647 t=36939
sheng ban ying tao 	生搬硬套	c=1 d=0.0466538 t=36939
sheng chan 	生產	c=17 d=0.700839 t=36939
sheng chan guan xi 	生產關係	c=3 d=0.0115628 t=36939
sheng chan li 	生產力	c=9 d=0.407375 t=36939
sheng chan zhe 	生產者	c=5 d=1.95207 t=36668
sheng chan zi liao 	生產資料	c=4 d=0.00123091 t=36939
sheng cheng 	生成	c=12 d=0.0582305 t=36939
sheng chu 	生處	c=1 d=0.0101022 t=36939
sheng cun 	生存	c=1 d=1 t=33029
sheng dan xi 	生旦戲	c=1 d=0.0409665 t=36939
sheng dong 	生動	c=1 d=1 t=33492
sheng gao 	升高	c=1 d=3.53756e-11 t=36939
sheng hua 	昇華	c=1 d=2.74728e-06 t=36939
sheng hua zhi ye 	昇華之夜	c=1 d=2.75458e-09 t=36939
sheng huo 	生活	c=22 d=0.995012 t=36939
sheng huo ban yue bao 	生活半月報	c=1 d=1 t=30688
sheng huo li 	生活裏	c=1 d=1 t=32371
sheng huo qi xi 	生活气息	c=1 d=0.540641 t=36939
sheng huo quan yi bu 	生活權益部	c=4 d=0.000909636 t=36939
sheng huo shang 	生活上	c=1 d=4.2985e-09 t=36939
sheng huo zhong 	生活中	c=1 d=1 t=33968
sheng huo zi liao 	生活資料	c=2 d=7.1629e-09 t=36939
sheng jing 	聖經	c=7 d=1 t=35547
sheng kai 	盛開	c=1 d=1 t=32062
sheng li jun 	生力軍	c=1 d=1 t=34234
sheng li si bie 	生離死別	c=3 d=0.0014202 t=36939
sheng lv 	勝率	c=2 d=1.87009 t=35039
sheng lve 	省略	c=3 d=0.000611259 t=36939
sheng ming 	生命	c=3 d=0.0277367 t=36939
sheng ming 	聲明	c=4 d=0.00640912 t=36939
sheng mu 	聲母	c=1 d=1.00068e-08 t=36939
sheng ni 	聖霓	c=1 d=3.18386e-07 t=36939
sheng qian 	升遷	c=1 d=1 t=36407
sheng quan 	生權	c=6 d=0.1 t=36789
sheng quan gong zuo 	生權工作	c=1 d=1 t=36790
sheng quan yue bao 	生權月報	c=1 d=1 t=29026
sheng ren 	勝任	c=1 d=1 t=36334
sheng ri 	生日	c=2 d=0.0167392 t=36939
sheng shi 	聖石	c=1 d=0.0338744 t=36939
sheng shi chuan shuo 	聖石傳說	c=10 d=2.57371 t=36939
sheng tai 	生態	c=3 d=6.09007e-08 t=36939
sheng tai huan jing 	生態環境	c=1 d=3.33098e-09 t=36939
sheng wen 	升溫	c=2 d=6.82102e-10 t=36939
sheng wu 	生物	c=4 d=1.96769e-05 t=36939
sheng wu xin pian 	生物芯片	c=3 d=4.19541e-05 t=36939
sheng xia 	剩下	c=7 d=0.0720785 t=36939
sheng xia lai 	生下來	c=1 d=6.65821e-10 t=36939
sheng xin 	省心	c=1 d=1.96979e-05 t=36939
sheng xu 	升序	c=1 d=2.46681e-05 t=36939
sheng yi 	勝衣	c=0 d=8.98306e-05 t=36939
sheng yi ge 	剩一個	c=1 d=9.6128e-07 t=36939
sheng yin 	聲音	c=6 d=0.030823 t=36939
sheng ying 	生硬	c=3 d=2.27873e-05 t=36939
sheng yu 	剩餘	c=3 d=1.94178e-13 t=36939
sheng yu jia zhi 	剩餘價值	c=13 d=0.249411 t=36939
sheng yu lao dong 	剩餘勞動	c=1 d=4.29839e-09 t=36939
sheng yu lao dong shi jian 	剩餘勞動時間	c=1 d=3.51931e-09 t=36939
sheng zhang 	聖章	c=5 d=0.037307 t=36939
sheng zhang zai 	生長在	c=1 d=1 t=31955
sheng zhang zi 	聖章子	c=1 d=1 t=31954
shi 	世	c=0 d=0.00101529 t=36939
shi 	事	c=7 d=0.00481991 t=36939
shi 	使	c=5 d=0.249075 t=36939
shi 	史	c=0 d=1.54176e-06 t=36939
shi 	士	c=0 d=0.0011109 t=36939
shi 	式	c=6 d=0.084163 t=36939
shi 	是	c=470 d=5.29822 t=36939
shi 	時	c=94 d=1.92294 t=36939
shi 	石	c=0 d=6.19099e-08 t=36939
shi 	視	c=1 d=0.305746 t=36939
shi 	試	c=1 d=7.52398e-07 t=36939
shi 	詩	c=1 d=0.0510474 t=36939
shi a 	是啊	c=3 d=1 t=33612
shi ba 	是吧	c=2 d=1 t=36798
shi bai 	失敗	c=17 d=0.0668917 t=36939
shi bie 	識別	c=0 d=0.1 t=34956
shi bu shi 	是不是	c=5 d=0.361305 t=36939
shi bu shi 	時不時	c=1 d=0.000160054 t=36939
shi cai yong 	是採用	c=1 d=4.94613e-13 t=36939
shi ce 	實測	c=1 d=3.08924e-05 t=36939
shi chang 	市場	c=12 d=0.416866 t=36939
shi chang jing ji 	市場經濟	c=9 d=1.3427 t=36939
shi ci 	詩詞	c=0 d=5.67472e-13 t=36939
shi cong 	是從	c=2 d=0.280832 t=36939
shi da chuan 	石大川	c=1 d=6.22203e-07 t=36939
shi dai 	時代	c=3 d=0.139905 t=36939
shi dang 	適當	c=1 d=2.26579e-05 t=36939
shi de 	使得	c=17 d=0.540641 t=36939
shi de 	是的	c=1 d=0.0372538 t=36939
shi di 	實地	c=1 d=0.000841773 t=36939
shi dian 	十點	c=1 d=1 t=29296
shi dui 	是對	c=3 d=0.308819 t=36939
shi duo 	十多	c=0 d=0.1 t=31313
shi duo er shi ge 	十多二十個	c=1 d=1 t=31314
shi er 	十二	c=3 d=2.91128e-07 t=36939
shi er jin chai 	十二金釵	c=4 d=4.22465e-07 t=36939
shi fang 	釋放	c=2 d=2.34329e-06 t=36939
shi fei 	是非	c=0 d=0.00081887 t=36939
shi fei mo ding 	是非莫定	c=1 d=0.00822975 t=36939
shi fen 	十分	c=1 d=0.634448 t=36939
shi fen 	時分	c=1 d=0.00134011 t=36939
shi fou 	是否	c=23 d=1.52737 t=36939
shi fu 	師父	c=3 d=1.05271 t=36939
shi ge 	十個	c=0 d=3.77513e-12 t=36939
shi ge 	是個	c=1 d=9.88334e-10 t=36939
shi ge 	詩歌	c=1 d=1 t=31680
shi ge dian 	十個點	c=1 d=3.79406e-11 t=36939
shi gei 	是給	c=1 d=0.118837 t=36939
shi gong 	施工	c=1 d=1 t=30686
shi hang 	詩行	c=4 d=2.37057 t=31851
shi hao shi huai 	是好是壞	c=2 d=1.5981e-07 t=36939
shi hao shi huai 	時好時壞	c=1 d=6.84327e-09 t=36939
shi he 	是何	c=1 d=0.782705 t=36939
shi he 	是和	c=1 d=0.00400585 t=36939
shi he 	適合	c=2 d=1.35761 t=36939
shi heng 	失衡	c=2 d=0.932394 t=36939
shi hou 	時候	c=39 d=0.8917 t=36939
shi huan 	使喚	c=0 d=5.14449e-06 t=36939
shi ji 	世紀	c=2 d=1.27804 t=31605
shi ji 	十集	c=1 d=0.196912 t=36939
shi ji 	實際	c=11 d=0.229928 t=36939
shi ji 	時機	c=1 d=0.0555762 t=36939
shi ji qi ti 	實際氣體	c=1 d=1.01598e-10 t=36939
shi ji qing kuang 	實際情況	c=3 d=0.0057994 t=36939
shi ji shang 	實際上	c=25 d=0.56836 t=36939
shi ji yi yi 	實際意義	c=1 d=9.09683e-05 t=36939
shi ji ying yong 	實際應用	c=2 d=8.78394e-05 t=36939
shi ji yun yong 	實際運用	c=1 d=9.96029e-13 t=36939
shi ji zhi 	實際值	c=1 d=3.03694e-10 t=36939
shi ji zhong 	實際中	c=1 d=0.0706512 t=36939
shi jia 	世家	c=0 d=3.43125e-06 t=36939
shi jian 	事件	c=20 d=3.39039 t=36939
shi jian 	實踐	c=16 d=0.00782838 t=36939
shi jian 	時間	c=65 d=1.64403 t=36939
shi jian chuo 	時間戳	c=1 d=0.571209 t=36939
shi jian fang shi 	實踐方式	c=1 d=1 t=33928
shi jian fu za du 	時間複雜度	c=3 d=0.000921065 t=36939
shi jian ming 	事件名	c=1 d=0.199888 t=36939
shi jian shi 	實踐時	c=1 d=1.2818e-09 t=36939
shi jian sun hao 	時間損耗	c=1 d=0.00051312 t=36939
shi jian zhi dui 	實踐支隊	c=1 d=2.32434e-11 t=36939
shi jiao 	視角	c=2 d=0.036334 t=36939
shi jie 	世界	c=9 d=0.0417941 t=36939
shi jie 	時節	c=1 d=1.58488e-06 t=36939
shi jie da zhan 	世界大戰	c=1 d=0.0678809 t=36939
shi jie guan 	世界觀	c=3 d=0.000314351 t=36939
shi jie yin yue 	世界音樂	c=1 d=0.802519 t=36939
shi jin er 	使勁兒	c=0 d=0.1 t=29321
shi jin er me 	使勁兒麼	c=1 d=1 t=29322
shi jin zhi 	十進制	c=1 d=1 t=34440
shi jing jing 	史菁菁	c=1 d=1.54949e-05 t=36939
shi jue 	視覺	c=1 d=5.28927e-08 t=36939
shi ke 	時刻	c=2 d=9.30278e-09 t=36939
shi lai sui 	十來歲	c=0 d=2.14564e-12 t=36939
shi le shi 	試了試	c=1 d=0.00341356 t=36939
shi li 	勢力	c=1 d=0.060205 t=36939
shi li 	實例	c=2 d=0.155701 t=36939
shi li 	實力	c=1 d=2.7005e-11 t=36939
shi li 	示例	c=5 d=0.856415 t=36939
shi li 	視力	c=1 d=0.000512449 t=36939
shi liu jin zhi 	十六進制	c=1 d=0.0162445 t=36939
shi ming 	使命	c=1 d=0.519442 t=36939
shi ming 	實名	c=1 d=1 t=33569
shi ni 	是你	c=2 d=2.83403e-11 t=36939
shi nian jian 	十年間	c=0 d=0.00665368 t=36939
shi nian lai 	十年來	c=1 d=0.071719 t=36939
shi pian 	是片	c=1 d=1 t=32051
shi pian 	詩篇	c=1 d=1 t=31773
shi pin 	視頻	c=4 d=5.8164e-08 t=36939
shi pin 	食品	c=1 d=7.59831e-05 t=36939
shi pin chuang zuo 	視頻創作	c=1 d=7.32301e-12 t=36939
shi qi 	時期	c=2 d=2.05548e-06 t=36939
shi qing 	事情	c=16 d=0.0213864 t=36939
shi ri 	時日	c=1 d=5.70219e-10 t=36939
shi shan 	屍山	c=1 d=0.25284 t=36939
shi shang du shi 	時尚都市	c=1 d=0.0173355 t=36939
shi she ben zhu mo 	是捨本逐末	c=1 d=1.16603e-13 t=36939
shi shen 	食神	c=1 d=3.20865e-10 t=36939
shi shen me 	是什麼	c=4 d=1.00171 t=34755
shi sheng 	師生	c=3 d=2.64915 t=30904
shi shi 	實時	c=1 d=0.000239969 t=36939
shi shi 	試試	c=3 d=0.00148943 t=36939
shi shi zhe ge 	試試這個	c=1 d=0.000739157 t=36939
shi shu yu 	是屬於	c=1 d=0.640824 t=36939
shi shui 	是誰	c=2 d=0.0753961 t=36939
shi shuo 	是說	c=1 d=2.67272e-07 t=36939
shi su 	射速	c=1 d=1 t=36939
shi tai 	時態	c=1 d=0.000200439 t=36939
shi tan 	試探	c=1 d=0.0071546 t=36939
shi tang 	食堂	c=2 d=0.00196945 t=36939
shi ti 	實體	c=4 d=0.0246023 t=36939
shi ti jing ji 	實體經濟	c=10 d=0.821356 t=36939
shi tong guo 	是通過	c=1 d=0.32628 t=36939
shi tu 	師徒	c=1 d=0.202909 t=36939
shi tu 	視圖	c=16 d=0.00193055 t=36939
shi tu 	試圖	c=3 d=0.00194013 t=36939
shi tui si 	士退斯	c=1 d=9.63768e-08 t=36939
shi wai 	室外	c=1 d=7.30037e-05 t=36939
shi wan 	十萬	c=1 d=0.00704808 t=36939
