# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
hen duo 	很多	c=9 d=0.044342 t=7834
hen duo bian 	很多遍	c=1 d=4.08886e-09 t=7834
hen duo ren 	很多人	c=2 d=1.36815e-09 t=7834
hen hao 	很好	c=1 d=0.00914087 t=7834
hen jian dan 	很簡單	c=3 d=0.000154516 t=7834
hen jiu 	很久	c=1 d=1 t=6856
hen ke xi 	很可惜	c=1 d=0.103312 t=7834
hen kuai 	很快	c=1 d=1 t=7502
hen mei yi si 	很沒意思	c=1 d=1 t=7100
hen mi mi 	很祕密	c=1 d=0.0137736 t=7834
hen ming xian 	很明顯	c=2 d=2.46973e-07 t=7834
hen nan 	很難	c=1 d=0.169483 t=7834
hen qi miao 	很奇妙	c=1 d=4.38533e-09 t=7834
hen qia dang 	很恰當	c=1 d=1.43431e-08 t=7834
hen shao 	很少	c=1 d=4.30963e-10 t=7834
hen shi luo 	很失落	c=1 d=5.7298e-08 t=7834
hen suo sui 	痕瑣碎	c=1 d=0.145148 t=7834
hen wei xian 	很危險	c=1 d=0.0185924 t=7834
hen xiang 	很想	c=0 d=1.04134e-07 t=7834
hen xiang shi 	很想是	c=1 d=1.04656e-06 t=7834
hen yan zhong 	很嚴重	c=0 d=8.21129e-07 t=7834
hen you yong 	很有用	c=1 d=1 t=7353
hen zhun que 	很準確	c=1 d=0.12938 t=7834
heng xiang 	橫向	c=1 d=0.062662 t=7834
hong 	宏	c=5 d=0.0208774 t=7834
hong 	轟	c=1 d=1 t=6921
hong ye 	紅葉	c=1 d=1 t=7368
hong yuan 	宏願	c=1 d=0.477114 t=7834
hou 	後	c=8 d=1.27974 t=7834
hou ban duan 	後半段	c=1 d=0.67368 t=7834
hou lai 	後來	c=1 d=8.42203e-10 t=7834
hou mian 	後面	c=1 d=1 t=7520
hou xu 	後續	c=2 d=8.09349e-05 t=7834
hou zhe 	後者	c=1 d=0.066205 t=7834
hu ran 	忽然	c=1 d=6.80914e-09 t=7834
hu xiao qian 	胡孝乾	c=1 d=1 t=7322
hua 	化	c=0 d=0.1 t=7201
hua 	花	c=2 d=1.00443 t=7741
hua 	話	c=3 d=0.0332072 t=7834
hua bu 	畫布	c=7 d=0.000342689 t=7834
hua jie 	化解	c=1 d=2.70703e-10 t=7834
hua mian 	畫面	c=1 d=0.01678 t=7834
hua mian shang 	畫面上	c=1 d=0.168638 t=7834
hua shen 	化身	c=1 d=0.0192547 t=7834
hua yu 	話語	c=1 d=1 t=7706
hua zhuang pin 	化妝品	c=1 d=0.116484 t=7834
hua zuo 	畫作	c=1 d=9.40133e-10 t=7834
huai yi 	懷疑	c=1 d=0.211189 t=7834
huan 	環	c=0 d=0.1 t=6923
huan chong qu 	緩衝區	c=1 d=0.00419023 t=7834
huan jing 	環境	c=2 d=0.540641 t=7834
huan jing bian liang 	環境變量	c=1 d=0.000911882 t=7834
huan man 	緩慢	c=1 d=3.16088e-10 t=7834
huan yuan 	還原	c=1 d=2.07184e-11 t=7834
huang fei 	黃妃	c=4 d=3.87791 t=6901
huang jiao ye wai 	荒郊野外	c=1 d=9.35285e-08 t=7834
huang jun xiong 	黃俊雄	c=1 d=0.282239 t=7834
hui 	會	c=13 d=0.0256996 t=7834
hui 	繪	c=1 d=0.00114769 t=7834
hui 	輝	c=1 d=0.13936 t=7308
hui dao zhi 	會導致	c=1 d=0.000450569 t=7834
hui fa xian 	會發現	c=1 d=1.21908e-07 t=7834
hui fang 	回放	c=4 d=3.8541 t=6623
hui fang 	回訪	c=1 d=1 t=6597
hui fang wen jian 	回放文件	c=1 d=1 t=6614
hui fei yan mie 	灰飛煙滅	c=1 d=1.25339e-10 t=7834
hui fu 	回覆	c=1 d=5.7595e-10 t=7834
hui fu 	恢復	c=5 d=0.00517278 t=7834
hui gu 	回顧	c=1 d=0.000405658 t=7834
hui mo ru shen 	諱莫如深	c=1 d=0.00167826 t=7834
hui rang 	會讓	c=0 d=0.1 t=7202
hui se 	灰色	c=1 d=1 t=6731
hui shuo 	會說	c=1 d=2.13973e-08 t=7834
hui tu 	繪圖	c=1 d=1.7558e-05 t=7834
hui wei 	回味	c=1 d=0.537944 t=7834
hui yi 	回憶	c=2 d=3.85411e-08 t=7834
hui ying 	灰鷹	c=1 d=0.00436124 t=7834
hui zhi 	繪製	c=1 d=6.50731e-05 t=7834
hun 	魂	c=1 d=0.290835 t=7834
hun dun 	混沌	c=1 d=3.31493e-11 t=7834
hun zhan 	混戰	c=1 d=0.0434998 t=7834
huo 	或	c=1 d=1.68289e-06 t=7834
huo ban 	夥伴	c=1 d=0.163654 t=7834
huo bi 	貨幣	c=1 d=2.02702e-10 t=7834
huo dong 	活動	c=5 d=0.00243994 t=7834
huo duo huo shao 	或多或少	c=2 d=0.0792617 t=7834
huo qu 	獲取	c=3 d=0.731825 t=7834
huo shi 	或是	c=1 d=4.75138e-11 t=7834
huo zhe 	或者	c=12 d=1.44253 t=7834
i 	i	c=0 d=2.41796e-06 t=7834
ji 	即	c=7 d=0.00522567 t=7834
ji 	及	c=3 d=0.0267829 t=7834
ji 	極	c=1 d=3.93736e-06 t=7834
ji 	紀	c=0 d=6.28456e-08 t=7834
ji 	計	c=2 d=0.195163 t=7834
ji 	記	c=1 d=0.965605 t=7834
ji ang 	激昂	c=1 d=0.737123 t=7834
ji ben 	基本	c=2 d=0.0735382 t=7834
ji ben si lu 	基本思路	c=1 d=1 t=6792
ji cheng 	繼承	c=8 d=0.336075 t=7834
ji cheng 	集成	c=1 d=0.00138093 t=7834
ji chu 	基礎	c=3 d=1.83403 t=7341
ji ci 	幾次	c=1 d=0.71177 t=7834
ji cun qi 	寄存器	c=2 d=0.018968 t=7834
ji e 	飢餓	c=1 d=0.0349094 t=7834
ji hu 	幾乎	c=2 d=0.0432841 t=7834
ji hui 	機會	c=2 d=0.0401553 t=7834
ji huo 	激活	c=1 d=4.4724e-05 t=7834
ji ji 	積極	c=2 d=0.00139006 t=7834
ji jian shi 	幾件事	c=0 d=6.8942e-09 t=7834
ji jiao 	計較	c=0 d=8.13097e-09 t=7834
ji ke 	即可	c=1 d=1 t=6545
ji lei 	基類	c=3 d=0.0037162 t=7834
ji lei 	積累	c=1 d=0.000889368 t=7834
ji lu 	記錄	c=3 d=0.891366 t=7834
ji mu 	祭墓	c=2 d=6.37402e-08 t=7834
ji qi 	及其	c=1 d=3.31324e-05 t=7834
ji qiao 	技巧	c=3 d=0.051563 t=7834
ji shu 	技術	c=9 d=0.000510566 t=7834
ji shu ceng mian 	技術層面	c=1 d=3.27347e-10 t=7834
ji shu ren yuan 	技術人員	c=1 d=2.07149e-09 t=7834
ji suan 	計算	c=2 d=0.000172826 t=7834
ji suan ji 	計算機	c=1 d=4.18083e-06 t=7834
ji suan ji xi 	計算機係	c=4 d=0.0100174 t=7834
ji wei 	幾位	c=1 d=0.000777055 t=7834
ji wei qing 	冀偉清	c=1 d=1.06495e-05 t=7834
ji xu 	繼續	c=2 d=0.00307331 t=7834
ji yu 	基於	c=7 d=0.00769541 t=7834
ji zhe 	記者	c=1 d=0.00568457 t=7834
ji zhong 	集中	c=1 d=1 t=7096
jia 	架	c=0 d=2.35866e-08 t=7834
jia 	甲	c=0 d=2.32355e-08 t=7834
jia fa 	假髮	c=5 d=0.323738 t=7834
jia luo 	迦羅	c=1 d=0.472367 t=7834
jia ming 	假名	c=1 d=0.00225411 t=7834
jia qiang 	加強	c=1 d=4.11929e-08 t=7834
jia ru 	加入	c=4 d=0.00644146 t=7834
jia xiang 	嘉祥	c=1 d=0.00351752 t=7834
jia zhi 	價值	c=1 d=5.51938e-09 t=7834
jia zhuang 	假裝	c=1 d=0.00290884 t=7834
jia zu 	甲組	c=1 d=0.00329615 t=7834
jian 	劍	c=0 d=3.1672e-08 t=7834
jian can wu xin 	劍殘無心	c=1 d=8.4206e-08 t=7834
jian cha 	檢查	c=5 d=1.34984 t=7834
jian cha 	監察	c=1 d=2.48644e-10 t=7834
jian dan 	簡單	c=15 d=0.980257 t=7834
jian dan xing 	簡單性	c=1 d=5.9043e-08 t=7834
jian die 	間諜	c=1 d=9.95521e-07 t=7834
jian fa 	減法	c=2 d=1.67706 t=7213
jian fu 	肩負	c=1 d=2.19958e-09 t=7834
jian hua 	簡化	c=0 d=0.000102302 t=7834
jian hua hou 	簡化後	c=1 d=0.00102814 t=7834
jian jie 	簡潔	c=2 d=6.75108e-05 t=7834
jian jie 	間接	c=1 d=5.19619e-05 t=7834
jian li 	建立	c=2 d=0.00166156 t=7834
jian mian 	見面	c=2 d=0.116472 t=7834
jian qu 	薦曲	c=1 d=0.467666 t=7834
jian rong 	兼容	c=7 d=0.010748 t=7834
jian shang 	見上	c=1 d=0.394554 t=7834
jian sheng 	劍聖	c=0 d=1.32061e-08 t=7834
jian shou 	堅守	c=1 d=5.34243e-08 t=7834
jian ti zhong wen 	簡體中文	c=1 d=1.98958e-05 t=7834
jian ting 	監聽	c=4 d=1.19002 t=7834
jian wan 	劍灣	c=1 d=0.00425356 t=7834
jian wang 	健忘	c=1 d=0.109154 t=7834
jian yao 	簡要	c=2 d=6.69038e-08 t=7834
jian yi 	簡易	c=1 d=3.9571e-06 t=7834
jian zhi 	剪枝	c=2 d=1.96079 t=6787
jian zhi 	鍵值	c=1 d=0.927743 t=7834
jian zhong sheng 	劍中生	c=1 d=1.51149e-07 t=7834
jiang 	將	c=11 d=0.47951 t=7834
jiang de 	講的	c=1 d=1 t=6737
jiang di 	降低	c=1 d=0.00158844 t=7834
jiang hui 	將會	c=1 d=2.76886e-11 t=7834
jiang jiu 	將就	c=1 d=1 t=6884
jiang jun ling 	將軍令	c=1 d=9.75808e-07 t=7834
jiang lai 	將來	c=3 d=0.00315111 t=7834
jiang le 	講了	c=1 d=6.8942e-08 t=7834
jiang qi 	將其	c=2 d=7.71322e-05 t=7834
jiang shi 	將是	c=1 d=2.10823e-10 t=7834
jiang shu 	講述	c=1 d=2.82431e-09 t=7834
jiang zai 	將在	c=1 d=0.0432828 t=7834
jiang zuo 	講座	c=1 d=1.48924e-09 t=7834
jiao 	叫	c=1 d=8.05144e-10 t=7834
jiao ben 	腳本	c=1 d=0.00410726 t=7834
jiao che 	轎車	c=4 d=0.0336583 t=7834
jiao du 	角度	c=2 d=0.0702988 t=7834
jiao duo 	較多	c=1 d=1 t=7539
jiao hu 	交互	c=3 d=0.906447 t=7834
jiao liu 	交流	c=3 d=0.00254173 t=7834
jiao luo 	角落	c=1 d=0.000590229 t=7834
jiao pai 	教派	c=3 d=0.00505151 t=7834
jiao shao 	較少	c=1 d=0.00047843 t=7834
jiao shi 	教師	c=1 d=1 t=7372
jiao tiao 	教條	c=1 d=0.00151855 t=7834
jiao wei 	較爲	c=3 d=0.0248475 t=7834
jiao yan 	校驗	c=0 d=0.1 t=6923
jiao yan huan 	校驗環	c=1 d=1 t=6924
jiao yi 	交易	c=1 d=6.44585e-11 t=7834
jiao zuo 	叫做	c=1 d=0.000564257 t=7834
jie 	劫	c=0 d=0.00972957 t=7834
jie 	堺	c=1 d=1 t=6919
jie 	節	c=1 d=0.000675539 t=7834
jie 	解	c=1 d=1.22519e-07 t=7834
jie chu 	接觸	c=1 d=1.67478e-08 t=7834
jie ci ji hui 	藉此機會	c=1 d=3.33098e-09 t=7834
jie di 	接地	c=2 d=1.94649 t=7288
jie dian 	節點	c=2 d=1.956 t=6823
jie du 	解讀	c=1 d=3.31436e-09 t=7834
jie duan 	階段	c=2 d=2.00531e-10 t=7834
jie gou 	結構	c=2 d=1.03956 t=7569
jie guo 	結果	c=2 d=0.740071 t=7834
jie guo yu liao dao le 	結果預料到了	c=1 d=7.4684e-08 t=7834
jie jue 	解決	c=3 d=0.865022 t=7834
jie jue fang fa 	解決方法	c=2 d=0.00357132 t=7834
jie kou 	接口	c=5 d=0.806748 t=7834
jie ru 	介入	c=4 d=0.0395595 t=7834
jie san 	解散	c=8 d=0.330168 t=7834
jie san bu liao 	解散不了	c=1 d=1.07583e-07 t=7834
jie san na 	解散那	c=1 d=0.440432 t=7834
jie shao 	介紹	c=1 d=3.23308e-11 t=7834
jie shi 	結實	c=1 d=3.41472e-07 t=7834
jie shi 	結識	c=3 d=0.0586345 t=7834
jie shi qi 	解釋器	c=1 d=3.97693e-06 t=7834
jie shou 	接受	c=8 d=2.70917 t=7834
jie shu shi 	結束時	c=1 d=0.273898 t=7834
jie xian 	接線	c=2 d=4.47063e-07 t=7834
jie xu 	接續	c=2 d=0.910375 t=7834
jie xuan 	節選	c=1 d=7.73574e-10 t=7834
jie zhe 	接着	c=1 d=0.0051953 t=7834
jie zhe 	藉着	c=1 d=0.000564257 t=7834
jie zhi 	介質	c=1 d=6.39496e-06 t=7834
jie zhi 	截至	c=1 d=1.3041e-06 t=7834
jin 	盡	c=1 d=1 t=6989
jin 	金	c=2 d=0.187308 t=7834
jin bu 	進步	c=2 d=0.0761538 t=7834
jin cheng 	進程	c=5 d=2.57175 t=7834
jin gong 	進攻	c=1 d=0.0405589 t=7834
jin guang 	金光	c=0 d=1.15106e-09 t=7834
jin guang shan shan 	金光閃閃	c=1 d=1.10592e-08 t=7834
jin guang xi 	金光戲	c=1 d=1.15683e-08 t=7834
jin mi 	緊密	c=1 d=0.104874 t=7834
jin nian 	今年	c=1 d=0.000916453 t=7834
jin qian 	金錢	c=1 d=0.0196437 t=7834
jin ri 	今日	c=1 d=5.89006e-09 t=7834
jin rong 	金融	c=1 d=1.9657e-10 t=7834
jin ru 	進入	c=3 d=0.626227 t=7834
jin tian 	今天	c=0 d=5.51938e-10 t=7834
jin xian dai 	近現代	c=1 d=0.00559994 t=7834
jin xing 	進行	c=7 d=0.691575 t=7834
jin yong 	禁用	c=1 d=4.83485e-10 t=7834
jin zhan 	進展	c=1 d=3.9387e-10 t=7834
jin zhi 	禁止	c=1 d=3.22364e-06 t=7834
jing cai 	精彩	c=1 d=0.000342239 t=7834
jing cha 	警察	c=1 d=0.0596059 t=7834
jing chang 	經常	c=1 d=0.000251014 t=7834
jing dian 	經典	c=2 d=0.551563 t=7834
jing gao 	警告	c=6 d=1.26435e-05 t=7834
jing guo 	經過	c=6 d=0.0305215 t=7834
jing huang shi cuo 	驚慌失措	c=1 d=7.5617e-07 t=7834
jing ji 	經濟	c=2 d=0.532592 t=7834
jing ji li lun 	經濟理論	c=1 d=1.16563e-09 t=7834
jing li 	經歷	c=3 d=0.00465413 t=7834
jing sai 	競賽	c=2 d=1.99005 t=7379
jing tao 	驚濤	c=1 d=0.000400815 t=7834
jing ti 	警惕	c=1 d=0.149569 t=7834
jing tong 	精通	c=1 d=1 t=7159
jing xian 	驚險	c=1 d=0.025223 t=7834
jing xuan 	精選	c=2 d=0.000671335 t=7834
jing yan 	經驗	c=2 d=0.000911882 t=7834
jing yin 	靜音	c=1 d=0.186374 t=7834
jing zheng 	競爭	c=1 d=5.68844e-11 t=7834
jiong tai 	窘態	c=1 d=7.37625e-09 t=7834
jiu 	就	c=12 d=0.0187823 t=7834
jiu 	舊	c=1 d=0.00447164 t=7834
jiu cai 	韭菜	c=0 d=3.15326e-12 t=7834
jiu cai zhi jia 	韭菜之家	c=1 d=3.16906e-11 t=7834
jiu cang zai 	就藏在	c=1 d=1.98512e-08 t=7834
jiu chan 	糾纏	c=1 d=3.95777e-08 t=7834
jiu cheng le 	就成了	c=1 d=1.10041e-08 t=7834
jiu dei 	就得	c=1 d=1 t=7417
jiu ge 	糾葛	c=3 d=3.12292e-07 t=7834
jiu guan 	酒館	c=1 d=0.00294838 t=7834
jiu guan zhong 	酒館中	c=1 d=0.00484407 t=7834
jiu ke neng 	就可能	c=1 d=0.0198411 t=7834
jiu ke yi 	就可以	c=4 d=0.00631556 t=7834
jiu mu qian 	就目前	c=2 d=5.92248e-07 t=7834
jiu ren 	救人	c=1 d=0.375311 t=7834
jiu ri 	舊日	c=0 d=0.000543443 t=7834
jiu ri zhi pei zhe 	舊日支配者	c=1 d=0.00546167 t=7834
jiu ru tong 	就如同	c=1 d=1.27541e-09 t=7834
jiu se lu 	九色鹿	c=1 d=0.97531 t=7834
jiu sheng xia 	就剩下	c=1 d=2.28343e-08 t=7834
jiu shi 	就是	c=16 d=0.821569 t=7834
jiu shi le 	就是了	c=1 d=1 t=7432
jiu suan 	就算	c=2 d=0.00431784 t=7834
jiu wan cheng 	就完成	c=1 d=0.00201931 t=7834
jiu xiang 	就像	c=6 d=0.207121 t=7834
jiu xie shi 	九邪識	c=2 d=0.245367 t=7834
jiu xing 	就行	c=2 d=1.65705 t=7562
jiu xu yao 	就需要	c=1 d=0.00327971 t=7834
jiu you 	舊有	c=1 d=1 t=6755
jiu yuan 	救援	c=1 d=7.69585e-08 t=7834
jiu zen me 	就怎麼	c=1 d=0.00381048 t=7834
jiu zhe yang 	就這樣	c=1 d=1.42371e-09 t=7834
ju 	劇	c=1 d=4.19237e-09 t=7834
ju 	居	c=0 d=0.0650509 t=7834
ju bei 	具備	c=1 d=2.12393e-09 t=7834
ju ben 	劇本	c=2 d=6.93343e-08 t=7834
ju da 	巨大	c=1 d=1 t=7219
ju ji 	劇集	c=5 d=0.300345 t=7834
ju jue 	拒絕	c=1 d=1 t=7516
ju li 	距離	c=2 d=0.000137399 t=7834
ju ping 	劇評	c=10 d=0.450278 t=7834
ju qing 	劇情	c=21 d=0.858 t=7834
ju zhen 	矩陣	c=1 d=3.42298e-06 t=7834
ju zhu 	居住	c=1 d=0.647265 t=7834
juan 	卷	c=1 d=0.00115345 t=7834
juan mo 	狷墨	c=1 d=0.99005 t=7834
juan mo ju 	狷墨居	c=1 d=0.00023647 t=7834
juan mo ju zhu ren 	狷墨居主人	c=3 d=0.46092 t=7834
juan zong 	卷宗	c=1 d=2.02522e-08 t=7834
jue ding 	決定	c=3 d=5.39963e-06 t=7834
jue dou 	決鬥	c=1 d=9.39973e-08 t=7834
jue se 	角色	c=2 d=0.634539 t=7834
jue se qu 	角色曲	c=1 d=0.506617 t=7834
jue xue 	絕學	c=1 d=0.0261214 t=7834
jun huang 	君皇	c=0 d=0.0690734 t=7834
kai 	開	c=0 d=9.16921e-11 t=7834
kai bo 	開播	c=1 d=3.50176e-09 t=7834
kai fa 	開發	c=3 d=0.00670866 t=7834
kai fa zhe 	開發者	c=2 d=0.00267181 t=7834
kai lian 	開鐮	c=0 d=2.91082e-12 t=7834
kai men jian shan 	開門見山	c=1 d=1 t=7265
kai shi 	開始	c=5 d=0.524678 t=7834
kai shi si kao 	開始思考	c=1 d=4.87084e-09 t=7834
kai tou 	開頭	c=1 d=0.0987662 t=7834
kai xiao 	開銷	c=4 d=2.68147 t=7548
kai xue 	開學	c=1 d=0.000921047 t=7834
kai yuan 	開源	c=1 d=2.72717e-09 t=7834
kai zhe 	開着	c=1 d=0.00852289 t=7834
kan 	看	c=3 d=0.00283702 t=7834
kan 	砍	c=1 d=0.0298969 t=7834
kan bu chu 	看不出	c=1 d=0.090718 t=7834
kan cheng shi 	看成是	c=1 d=1.35101e-10 t=7834
kan dai 	看待	c=2 d=0.0706512 t=7834
kan dao 	看到	c=1 d=2.88834e-08 t=7834
kan de chu 	看得出	c=0 d=7.15825e-10 t=7834
kan fa 	看法	c=3 d=0.140858 t=7834
kan kan 	看看	c=1 d=0.0163259 t=7834
kan le 	看了	c=1 d=4.04817e-09 t=7834
kan shang qu 	看上去	c=7 d=0.736504 t=7834
kan xi 	看戲	c=1 d=0.165299 t=7834
kan zuo 	看作	c=1 d=1.19226e-10 t=7834
kao 	考	c=1 d=1 t=7046
kao 	靠	c=1 d=0.0228227 t=7834
kao lv 	考慮	c=8 d=1.41394 t=7834
kao lv dao 	考慮到	c=1 d=1 t=6771
kao shi 	考試	c=1 d=8.50378e-06 t=7834
kao yan 	考驗	c=1 d=2.67363e-11 t=7834
kao zheng 	考證	c=1 d=0.00201931 t=7834
ke 	可	c=1 d=1.88311e-05 t=7834
ke 	課	c=2 d=0.00634984 t=7834
ke biao 	課表	c=3 d=2.98506 t=7336
ke bu 	可不	c=0 d=0.1 t=7071
ke bu bi 	可不比	c=1 d=1 t=7072
ke dei 	可得	c=1 d=0.271173 t=7834
ke guan 	客觀	c=1 d=0.00798652 t=7834
ke hu duan 	客戶端	c=4 d=0.993294 t=7834
ke ji 	科技	c=1 d=1 t=7804
ke neng 	可能	c=4 d=0.0345631 t=7834
ke neng xing 	可能性	c=2 d=2.32446e-07 t=7834
ke pu 	科普	c=1 d=5.2502e-09 t=7834
ke qiu 	苛求	c=1 d=0.151072 t=7834
ke quan ke dian 	可圈可點	c=1 d=1 t=7466
ke shi hua 	可視化	c=1 d=3.82099e-06 t=7834
ke xi 	可惜	c=2 d=0.798516 t=7834
ke xue yu ji shu 	科學與技術	c=1 d=4.68475e-05 t=7834
ke xue yu ji shu xi 	科學與技術系	c=1 d=0.000428594 t=7834
ke yi 	刻意	c=1 d=2.63929e-06 t=7834
ke yi 	可以	c=13 d=0.0544126 t=7834
ke yi le 	可以了	c=1 d=0.00126207 t=7834
ke yi shi zuo 	可以視作	c=1 d=3.68957e-06 t=7834
ke yi shuo shi 	可以說是	c=1 d=0.000602152 t=7834
ke yi yong 	可以用	c=1 d=1 t=6949
ke yin 	可因	c=0 d=2.62069e-12 t=7834
ke zhe die 	可摺疊	c=1 d=4.6437e-06 t=7834
ken ding 	肯定	c=2 d=0.240508 t=7834
kong bu 	恐怖	c=1 d=0.0166557 t=7834
kong jian 	空間	c=2 d=0.00460782 t=7834
kong qi 	空氣	c=1 d=1 t=7831
kong xian 	空閒	c=1 d=0.00279479 t=7834
kong zhi 	控制	c=9 d=0.276651 t=7834
kong zhi tiao 	控制條	c=3 d=0.000139316 t=7834
kong zhi zhe 	控制着	c=1 d=0.00726273 t=7834
kou bai 	口白	c=4 d=1.04043e-06 t=7834
kou zhong 	口中	c=1 d=2.4796e-07 t=7834
ku 	庫	c=7 d=0.014009 t=7834
ku lun 	庫倫	c=1 d=1.12535e-07 t=7834
ku ming ren 	苦命人	c=3 d=0.238115 t=7834
ku qing 	苦情	c=1 d=0.0132336 t=7834
kua guo 	跨國	c=1 d=0.0368832 t=7834
kua ping tai 	跨平臺	c=1 d=0.000754089 t=7834
kua yue 	跨越	c=1 d=1 t=7577
kuai 	快	c=1 d=1 t=7041
kuai le 	快了	c=1 d=1 t=6844
kuai le 	快樂	c=0 d=0.1 t=6842
kuai le hen duo 	快樂很多	c=1 d=1 t=6843
kuai su 	快速	c=2 d=0.0106734 t=7834
kuan du 	寬度	c=6 d=0.000495484 t=7834
kuang jia 	框架	c=1 d=2.38196e-05 t=7834
kui lei 	傀儡	c=1 d=5.18366e-06 t=7834
kui lei xi 	傀儡戲	c=1 d=4.90625e-06 t=7834
kun lun 	崑崙	c=11 d=0.0123404 t=7834
kun nan de 	困難的	c=1 d=1 t=7641
kun qu 	崑曲	c=2 d=0.349864 t=7322
kun qu yi shu 	崑曲藝術	c=2 d=1.9802 t=7327
kuo zhan 	擴展	c=6 d=0.255406 t=7834
la ding yu 	拉丁語	c=1 d=0.00136037 t=7834
la ke 	拉克	c=0 d=0.000149594 t=7834
la ke li 	拉克裏	c=2 d=0.00362628 t=7834
lai 	來	c=10 d=0.050895 t=7834
lai dao 	來到	c=1 d=0.0376283 t=7834
lai he 	來和	c=1 d=0.0144076 t=7834
lai kan 	來看	c=5 d=2.31027e-06 t=7834
lai qu 	來去	c=1 d=0.00835412 t=7834
lai shuo 	來說	c=12 d=0.0166499 t=7834
lai yi 	來矣	c=1 d=0.008271 t=7834
lai yuan 	來源	c=1 d=0.00145173 t=7834
lai yuan yu 	來源於	c=1 d=1.64984e-08 t=7834
lai zhe bu ju 	來者不拒	c=1 d=0.0202419 t=7834
lai zi 	來自	c=1 d=0.00264522 t=7834
lambda 	λ	c=2 d=1.56553 t=7261
lan 	濫	c=1 d=0.18452 t=7834
lang fei 	浪費	c=1 d=3.52842e-10 t=7834
lang zhong 	郎中	c=0 d=8.46281e-09 t=7834
lao ban fa 	老辦法	c=1 d=1 t=7123
lao da 	老大	c=2 d=0.0541679 t=7834
lao shi 	老實	c=1 d=0.127454 t=7834
lao shi 	老師	c=3 d=1 t=7834
lao shi shuo 	老實說	c=1 d=1 t=7020
le 	了	c=66 d=0.578675 t=7834
le guan 	樂觀	c=1 d=3.97829e-10 t=7834
lei 	類	c=19 d=0.0267145 t=7834
lei si 	類似	c=2 d=0.00603608 t=7834
lei si de 	類似的	c=1 d=6.02357e-08 t=7834
lei xing 	類型	c=7 d=0.220059 t=7834
leng jing 	冷靜	c=2 d=0.032881 t=7834
li 	李	c=1 d=1 t=6659
li 	理	c=1 d=0.0100518 t=7834
li 	裏	c=9 d=0.139972 t=7834
li bu chu 	理不出	c=1 d=0.0939493 t=7834
li gui qin 	李桂琴	c=1 d=1 t=7304
li hui 	例會	c=3 d=1.43634 t=7822
li ji zhu yi 	利己主義	c=1 d=0.0193512 t=7834
li jie 	理解	c=4 d=0.181913 t=7834
li li zai mu 	歷歷在目	c=1 d=0.0254765 t=7834
li liang 	力量	c=1 d=3.22474e-10 t=7834
li lun 	理論	c=1 d=4.20322e-10 t=7834
li lun shang 	理論上	c=1 d=0.00082099 t=7834
li mian 	裏面	c=3 d=0.0168973 t=7834
li mian shi 	裏面是	c=1 d=0.0104621 t=7834
li ming 	李明	c=0 d=0.1 t=7398
li ming shang 	李明尚	c=1 d=1 t=7399
li qing 	釐清	c=1 d=0.0020396 t=7834
li shi 	歷史	c=2 d=0.88692 t=7834
li su li 	李素麗	c=1 d=1 t=6688
li ti 	例題	c=1 d=1 t=6498
li xian 	離線	c=6 d=3.66195 t=7834
li xian dui zhan 	離線對戰	c=1 d=0.336216 t=7834
li xian dui zhang 	離線隊長	c=1 d=0.822835 t=7834
li xian tuo guan 	離線託管	c=4 d=3.62198 t=7816
li xing 	理性	c=1 d=0.0695994 t=7834
li yong 	利用	c=2 d=0.0391639 t=7834
lian 	鏈	c=0 d=2.09266e-12 t=7834
lian biao 	鏈表	c=1 d=1 t=7555
lian luo 	聯絡	c=1 d=0.0135686 t=7834
lian shang 	鏈上	c=3 d=1.6267e-09 t=7834
lian xi 	聯繫	c=2 d=0.0997588 t=7834
lian xia 	鏈下	c=1 d=6.84444e-11 t=7834
liang 	兩	c=1 d=1 t=7283
liang bei 	兩倍	c=1 d=1 t=7208
liang bian 	兩邊	c=1 d=1 t=7476
liang ceng 	兩層	c=1 d=0.172045 t=7834
liang ci 	兩次	c=1 d=0.941765 t=7834
liang du 	亮度	c=1 d=0.900325 t=7834
liang ge 	兩個	c=10 d=0.358163 t=7834
liang ge ren 	兩個人	c=2 d=4.45099e-07 t=7834
liang gen 	兩根	c=1 d=1.25599e-05 t=7834
liang gu yin 	樑谷音	c=1 d=1 t=7748
liang hao 	良好	c=2 d=0.00301333 t=7834
liang juan 	兩卷	c=0 d=2.75458e-10 t=7834
liang juan shu 	兩卷書	c=2 d=0.0505395 t=7834
liang liang 	兩兩	c=0 d=8.13097e-09 t=7834
liang liang ji jiao 	兩兩計較	c=1 d=8.17173e-08 t=7834
liang mian 	兩面	c=1 d=0.0278757 t=7834
liang ren 	兩人	c=3 d=0.0047186 t=7834
liang tian 	兩天	c=1 d=1.83724e-09 t=7834
liao jie 	瞭解	c=6 d=0.0829553 t=7834
liao liao wu ji 	寥寥無幾	c=1 d=7.65616e-06 t=7834
liao zhai 	聊齋	c=2 d=1.99501 t=7736
lie biao 	列表	c=3 d=0.0038196 t=7834
lie ju 	列舉	c=3 d=0.155147 t=7834
lie shu 	列數	c=1 d=1.35381e-05 t=7834
lie zhi 	劣質	c=2 d=6.62888e-11 t=7834
lin 	林	c=1 d=1 t=7331
